rock_type,abbrev,岩石属性,density,det_den,vp,dvp,vs,dvs,pressure,pressure_unit,temperature,felsic_or_mafic,rock_facies,sio2_wt,source,method,岩石分类,变质程度,地质意义
Paragneiss,,副片麻岩,2737,,6.35,,,,600,MPa,25,pelitic/psammitic,,71.86,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2679,,5.74,,,,100,MPa,25,pelitic/psammitic,amphibolite,73.58,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2679,,6,,,,200,MPa,25,pelitic/psammitic,amphibolite,73.58,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2679,,6.09,,,,300,MPa,25,pelitic/psammitic,amphibolite,73.58,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2679,,6.14,,,,400,MPa,25,pelitic/psammitic,amphibolite,73.58,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2679,,6.17,,,,500,MPa,25,pelitic/psammitic,amphibolite,73.58,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2679,,6.19,,,,600,MPa,25,pelitic/psammitic,amphibolite,73.58,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2728,,5.73,,,,100,MPa,25,pelitic/psammitic,amphibolite,66.6,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2728,,6.01,,,,200,MPa,25,pelitic/psammitic,amphibolite,66.6,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2728,,6.14,,,,300,MPa,25,pelitic/psammitic,amphibolite,66.6,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2728,,6.21,,,,400,MPa,25,pelitic/psammitic,amphibolite,66.6,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2728,,6.25,,,,500,MPa,25,pelitic/psammitic,amphibolite,66.6,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2728,,6.27,,,,600,MPa,25,pelitic/psammitic,amphibolite,66.6,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2766,,5.67,,,,100,MPa,25,pelitic/psammitic,amphibolite,63.69,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2766,,5.99,,,,200,MPa,25,pelitic/psammitic,amphibolite,63.69,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2766,,6.16,,,,300,MPa,25,pelitic/psammitic,amphibolite,63.69,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2766,,6.25,,,,400,MPa,25,pelitic/psammitic,amphibolite,63.69,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2766,,6.31,,,,500,MPa,25,pelitic/psammitic,amphibolite,63.69,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2766,,6.35,,,,600,MPa,25,pelitic/psammitic,amphibolite,63.69,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Phlogopite Peridotite,,金云母橄榄岩,3313,,8.13,,,,100,MPa,25,ultramafic,,39.44,Burke&Fountain 1990,compiled_518_strict,火成岩（超镁铁质）,-,地幔交代产物，含金云母，富钾
Phlogopite Peridotite,,金云母橄榄岩,3313,,8.28,,,,200,MPa,25,ultramafic,,39.44,Burke&Fountain 1990,compiled_518_strict,火成岩（超镁铁质）,-,地幔交代产物，含金云母，富钾
Phlogopite Peridotite,,金云母橄榄岩,3313,,8.32,,,,300,MPa,25,ultramafic,,39.44,Burke&Fountain 1990,compiled_518_strict,火成岩（超镁铁质）,-,地幔交代产物，含金云母，富钾
Phlogopite Peridotite,,金云母橄榄岩,3313,,8.35,,,,400,MPa,25,ultramafic,,39.44,Burke&Fountain 1990,compiled_518_strict,火成岩（超镁铁质）,-,地幔交代产物，含金云母，富钾
Phlogopite Peridotite,,金云母橄榄岩,3313,,8.38,,,,500,MPa,25,ultramafic,,39.44,Burke&Fountain 1990,compiled_518_strict,火成岩（超镁铁质）,-,地幔交代产物，含金云母，富钾
Phlogopite Peridotite,,金云母橄榄岩,3313,,8.4,,,,600,MPa,25,ultramafic,,39.44,Burke&Fountain 1990,compiled_518_strict,火成岩（超镁铁质）,-,地幔交代产物，含金云母，富钾
Paragneiss,,副片麻岩,2652,,5.85,,,,100,MPa,25,pelitic/psammitic,amphibolite,83.22,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2652,,6.1,,,,200,MPa,25,pelitic/psammitic,amphibolite,83.22,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2652,,6.19,,,,300,MPa,25,pelitic/psammitic,amphibolite,83.22,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2652,,6.24,,,,400,MPa,25,pelitic/psammitic,amphibolite,83.22,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2652,,6.27,,,,500,MPa,25,pelitic/psammitic,amphibolite,83.22,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2652,,6.29,,,,600,MPa,25,pelitic/psammitic,amphibolite,83.22,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2611,,5.69,,,,100,MPa,25,pelitic/psammitic,amphibolite,76.74,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2611,,6.03,,,,200,MPa,25,pelitic/psammitic,amphibolite,76.74,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2611,,6.15,,,,300,MPa,25,pelitic/psammitic,amphibolite,76.74,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2611,,6.21,,,,400,MPa,25,pelitic/psammitic,amphibolite,76.74,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2611,,6.26,,,,500,MPa,25,pelitic/psammitic,amphibolite,76.74,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2611,,6.28,,,,600,MPa,25,pelitic/psammitic,amphibolite,76.74,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2712,,5.64,,,,100,MPa,25,pelitic/psammitic,amphibolite,66.28,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2712,,5.83,,,,200,MPa,25,pelitic/psammitic,amphibolite,66.28,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2712,,5.93,,,,300,MPa,25,pelitic/psammitic,amphibolite,66.28,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2712,,5.98,,,,400,MPa,25,pelitic/psammitic,amphibolite,66.28,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2712,,6.02,,,,500,MPa,25,pelitic/psammitic,amphibolite,66.28,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2712,,6.05,,,,600,MPa,25,pelitic/psammitic,amphibolite,66.28,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Granite,,花岗岩,2598,,6.14,,,,100,MPa,25,felsic,,72.98,Burke&Fountain 1990,compiled_518_strict,火成岩,-,大陆地壳主要组成，与造山带岩浆作用有关
Granite,,花岗岩,2598,,6.25,,,,200,MPa,25,felsic,,72.98,Burke&Fountain 1990,compiled_518_strict,火成岩,-,大陆地壳主要组成，与造山带岩浆作用有关
Granite,,花岗岩,2598,,6.32,,,,300,MPa,25,felsic,,72.98,Burke&Fountain 1990,compiled_518_strict,火成岩,-,大陆地壳主要组成，与造山带岩浆作用有关
Granite,,花岗岩,2598,,6.36,,,,400,MPa,25,felsic,,72.98,Burke&Fountain 1990,compiled_518_strict,火成岩,-,大陆地壳主要组成，与造山带岩浆作用有关
Granite,,花岗岩,2598,,6.39,,,,500,MPa,25,felsic,,72.98,Burke&Fountain 1990,compiled_518_strict,火成岩,-,大陆地壳主要组成，与造山带岩浆作用有关
Granite,,花岗岩,2598,,6.41,,,,600,MPa,25,felsic,,72.98,Burke&Fountain 1990,compiled_518_strict,火成岩,-,大陆地壳主要组成，与造山带岩浆作用有关
Calc-silicate,,钙硅酸盐岩,2951,,6.21,,,,100,MPa,25,calcareous,,35.16,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相,碳酸盐岩与硅酸盐岩接触变质产物，常见矽卡岩
Calc-silicate,,钙硅酸盐岩,2951,,6.61,,,,200,MPa,25,calcareous,,35.16,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相,碳酸盐岩与硅酸盐岩接触变质产物，常见矽卡岩
Calc-silicate,,钙硅酸盐岩,2951,,6.78,,,,300,MPa,25,calcareous,,35.16,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相,碳酸盐岩与硅酸盐岩接触变质产物，常见矽卡岩
Calc-silicate,,钙硅酸盐岩,2951,,6.86,,,,400,MPa,25,calcareous,,35.16,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相,碳酸盐岩与硅酸盐岩接触变质产物，常见矽卡岩
Calc-silicate,,钙硅酸盐岩,2951,,6.91,,,,500,MPa,25,calcareous,,35.16,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相,碳酸盐岩与硅酸盐岩接触变质产物，常见矽卡岩
Calc-silicate,,钙硅酸盐岩,2951,,6.95,,,,600,MPa,25,calcareous,,35.16,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相,碳酸盐岩与硅酸盐岩接触变质产物，常见矽卡岩
Harzburgite,,方辉橄榄岩,3276,,7.97,,,,100,MPa,25,ultramafic,,44.88,Burke&Fountain 1990,compiled_518_strict,火成岩（超镁铁质）,-,地幔亏损橄榄岩，蛇绿岩套主要组成
Harzburgite,,方辉橄榄岩,3276,,8.01,,,,200,MPa,25,ultramafic,,44.88,Burke&Fountain 1990,compiled_518_strict,火成岩（超镁铁质）,-,地幔亏损橄榄岩，蛇绿岩套主要组成
Harzburgite,,方辉橄榄岩,3276,,8.03,,,,300,MPa,25,ultramafic,,44.88,Burke&Fountain 1990,compiled_518_strict,火成岩（超镁铁质）,-,地幔亏损橄榄岩，蛇绿岩套主要组成
Harzburgite,,方辉橄榄岩,3276,,8.05,,,,400,MPa,25,ultramafic,,44.88,Burke&Fountain 1990,compiled_518_strict,火成岩（超镁铁质）,-,地幔亏损橄榄岩，蛇绿岩套主要组成
Harzburgite,,方辉橄榄岩,3276,,8.08,,,,500,MPa,25,ultramafic,,44.88,Burke&Fountain 1990,compiled_518_strict,火成岩（超镁铁质）,-,地幔亏损橄榄岩，蛇绿岩套主要组成
Harzburgite,,方辉橄榄岩,3276,,8.1,,,,600,MPa,25,ultramafic,,44.88,Burke&Fountain 1990,compiled_518_strict,火成岩（超镁铁质）,-,地幔亏损橄榄岩，蛇绿岩套主要组成
Diorite,,闪长岩,2775,,6.11,,,,100,MPa,25,intermediate,,53.5,Burke&Fountain 1990,compiled_518_strict,火成岩,-,中性深成岩，与安山质岩浆活动有关
Diorite,,闪长岩,2775,,6.34,,,,200,MPa,25,intermediate,,53.5,Burke&Fountain 1990,compiled_518_strict,火成岩,-,中性深成岩，与安山质岩浆活动有关
Diorite,,闪长岩,2775,,6.44,,,,300,MPa,25,intermediate,,53.5,Burke&Fountain 1990,compiled_518_strict,火成岩,-,中性深成岩，与安山质岩浆活动有关
Diorite,,闪长岩,2775,,6.49,,,,400,MPa,25,intermediate,,53.5,Burke&Fountain 1990,compiled_518_strict,火成岩,-,中性深成岩，与安山质岩浆活动有关
Diorite,,闪长岩,2775,,6.53,,,,500,MPa,25,intermediate,,53.5,Burke&Fountain 1990,compiled_518_strict,火成岩,-,中性深成岩，与安山质岩浆活动有关
Diorite,,闪长岩,2775,,6.54,,,,600,MPa,25,intermediate,,53.5,Burke&Fountain 1990,compiled_518_strict,火成岩,-,中性深成岩，与安山质岩浆活动有关
Metagabbro (main),,变辉长岩,3265,,6.9,,,,100,MPa,25,,granulite,39.77,Burke&Fountain 1990,compiled_518_strict,,,
Metagabbro (main),,变辉长岩,3265,,7.01,,,,200,MPa,25,,granulite,39.77,Burke&Fountain 1990,compiled_518_strict,,,
Metagabbro (main),,变辉长岩,3265,,7.05,,,,300,MPa,25,,granulite,39.77,Burke&Fountain 1990,compiled_518_strict,,,
Metagabbro (main),,变辉长岩,3265,,7.08,,,,400,MPa,25,,granulite,39.77,Burke&Fountain 1990,compiled_518_strict,,,
Metagabbro (main),,变辉长岩,3265,,7.1,,,,500,MPa,25,,granulite,39.77,Burke&Fountain 1990,compiled_518_strict,,,
Metagabbro (main),,变辉长岩,3265,,7.12,,,,600,MPa,25,,granulite,39.77,Burke&Fountain 1990,compiled_518_strict,,,
Metagabbro (upper Layer),,变辉长岩,3002,,6.83,,,,100,MPa,25,mafic,granulite,48.04,Burke&Fountain 1990,compiled_518_strict,,,
Metagabbro (upper Layer),,变辉长岩,3002,,7.07,,,,200,MPa,25,mafic,granulite,48.04,Burke&Fountain 1990,compiled_518_strict,,,
Metagabbro (upper Layer),,变辉长岩,3002,,7.15,,,,300,MPa,25,mafic,granulite,48.04,Burke&Fountain 1990,compiled_518_strict,,,
Metagabbro (upper Layer),,变辉长岩,3002,,7.19,,,,400,MPa,25,mafic,granulite,48.04,Burke&Fountain 1990,compiled_518_strict,,,
Metagabbro (upper Layer),,变辉长岩,3002,,7.22,,,,500,MPa,25,mafic,granulite,48.04,Burke&Fountain 1990,compiled_518_strict,,,
Metagabbro (upper Layer),,变辉长岩,3002,,7.24,,,,600,MPa,25,mafic,granulite,48.04,Burke&Fountain 1990,compiled_518_strict,,,
Amphibolite,,斜长角闪岩,3036,,6.62,,,,100,MPa,25,mafic,amphibolite,45.91,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,3036,,6.79,,,,200,MPa,25,mafic,amphibolite,45.91,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,3036,,6.87,,,,300,MPa,25,mafic,amphibolite,45.91,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,3036,,6.9,,,,400,MPa,25,mafic,amphibolite,45.91,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,3036,,6.93,,,,500,MPa,25,mafic,amphibolite,45.91,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Amphibolite,,斜长角闪岩,3036,,6.95,,,,600,MPa,25,mafic,amphibolite,45.91,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相,中地壳基性变质岩，代表岛弧或洋壳俯冲变质作用
Kinzigite,,金兹岩,2907,,6.02,,,,100,MPa,25,pelitic,amphibolite,47.33,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,富石榴石、黑云母、钾长石的副片麻岩，原岩为泥质岩
Kinzigite,,金兹岩,2907,,6.28,,,,200,MPa,25,pelitic,amphibolite,47.33,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,富石榴石、黑云母、钾长石的副片麻岩，原岩为泥质岩
Kinzigite,,金兹岩,2907,,6.4,,,,300,MPa,25,pelitic,amphibolite,47.33,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,富石榴石、黑云母、钾长石的副片麻岩，原岩为泥质岩
Kinzigite,,金兹岩,2907,,6.46,,,,400,MPa,25,pelitic,amphibolite,47.33,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,富石榴石、黑云母、钾长石的副片麻岩，原岩为泥质岩
Kinzigite,,金兹岩,2907,,6.5,,,,500,MPa,25,pelitic,amphibolite,47.33,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,富石榴石、黑云母、钾长石的副片麻岩，原岩为泥质岩
Kinzigite,,金兹岩,2907,,6.53,,,,600,MPa,25,pelitic,amphibolite,47.33,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,富石榴石、黑云母、钾长石的副片麻岩，原岩为泥质岩
Paragneiss,,副片麻岩,2683,,6.24,,,,100,MPa,25,pelitic/psammitic,amphibolite,68.2,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2683,,6.38,,,,200,MPa,25,pelitic/psammitic,amphibolite,68.2,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2683,,6.45,,,,300,MPa,25,pelitic/psammitic,amphibolite,68.2,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2683,,6.5,,,,400,MPa,25,pelitic/psammitic,amphibolite,68.2,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2683,,6.53,,,,500,MPa,25,pelitic/psammitic,amphibolite,68.2,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2683,,6.55,,,,600,MPa,25,pelitic/psammitic,amphibolite,68.2,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2671,,5.87,,,,100,MPa,25,pelitic/psammitic,amphibolite,67.87,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2671,,6.03,,,,200,MPa,25,pelitic/psammitic,amphibolite,67.87,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2671,,6.1,,,,300,MPa,25,pelitic/psammitic,amphibolite,67.87,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2671,,6.14,,,,400,MPa,25,pelitic/psammitic,amphibolite,67.87,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2671,,6.18,,,,500,MPa,25,pelitic/psammitic,amphibolite,67.87,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
Paragneiss,,副片麻岩,2671,,6.21,,,,600,MPa,25,pelitic/psammitic,amphibolite,67.87,Burke&Fountain 1990,compiled_518_strict,变质岩,角闪岩相-麻粒岩相,原岩为沉积岩的片麻岩，记录沉积变质
